"WEIGHT","LENGTH","LOCATION","COAST","SEASON","SEX"
"262","38.9","MARAETAI","EAST","WINTER","MALE"
"300","41.3","MURIWAI","WEST","SUMMER","MALE"
"250","36.6","MURIWAI","WEST","WINTER","MALE"
"242","36","MARAETAI","EAST","WINTER","FEMALE"
"261","37.1","MURIWAI","WEST","WINTER","MALE"
"262","38.2","MURIWAI","WEST","WINTER","MALE"
"290","38.1","MARAETAI","EAST","SUMMER","MALE"
"297","37.6","PIHA","WEST","SUMMER","MALE"
"263","38.8","PIHA","WEST","WINTER","MALE"
"293","42.3","MURIWAI","WEST","SUMMER","MALE"
"293","36.4","WAITAWA","EAST","SUMMER","MALE"
"278","35.2","MURWAI","WEST","SUMMER","FEMALE"
"280","35.3","PIHA","WEST","SUMMER","MALE"
"313","42.1","WAITAWA","EAST","SUMMER","MALE"
"278","37.4","MURIWAI","WEST","SUMMER","FEMALE"
"267","39.3","MURIWAI","WEST","WINTER","MALE"
"247","36.9","MARAETAI","EAST","WINTER","FEMALE"
"295","38.2","PIHA","WEST","SUMMER","MALE"
"268","36.6","MARAETAI","EAST","SUMMER","FEMALE"
"260","33.9","PIHA","WEST","WINTER","MALE"
"288","37","MARAETAI","EAST","SUMMER","MALE"
"274","35.4","MARAETAI","EAST","SUMMER","FEMALE"
"263","38.2","WAITAWA","EAST","WINTER","MALE"
"239","35.4","MARAETAI","EAST","WINTER","FEMALE"
"266","39.5","MARAETAI","EAST","SUMMER","FEMALE"
"292","38.3","MARAETAI","EAST","SUMMER","MALE"
"277","36.7","PIHA","WEST","SUMMER","FEMALE"
"261","40.8","PIHA","WEST","WINTER","MALE"
"266","34.1","PIHA","WEST","WINTER","FEMALE"
"285","39.2","PIHA","WEST","SUMMER","FEMALE"
"268","40.3","MURIWAI","WEST","SUMMER","FEMALE"
"258","38","MARAETAI","EAST","SUMMER","FEMALE"
"257","37.2","MARAETAI","EAST","WINTER","FEMALE"
"255","35.3","MURIWAI","WEST","WINTER","FEMALE"
"260","37.2","MURIWAI","WEST","WINTER","FEMALE"
"247","37.3","MURIWAI","WEST","WINTER","FEMALE"
"282","40.6","PIHA","WEST","SUMMER","MALE"
"272","37.2","MURIWAI","WEST","WINTER","MALE"
"263","34.4","WAITAWA","EAST","SUMMER","FEMALE"
"258","36.2","MARAETAI","EAST","WINTER","MALE"
"261","30","WAITAWA","EAST","WINTER","MALE"
"270","39.5","MURIWAI","WEST","WINTER","FEMALE"
"320","40.3","MARAETAI","EAST","SUMMER","MALE"
"281","33.6","PIHA","WEST","SUMMER","MALE"
"263","36.3","PIHA","WEST","WINTER","FEMALE"
"293","39.7","WAITAWA","EAST","SUMMER","MALE"
"298","41.4","MURIWAI","WEST","SUMMER","MALE"
"269","37","PIHA","WEST","WINTER","FEMALE"
"266","32.6","MURIWAI","WEST","SUMMER","FEMALE"
"270","39.1","MARAETAI","EAST","WINTER","MALE"
"270","38.8","PIHA","WEST","SUMMER","FEMALE"
"295","43.4","MARAETAI","EAST","SUMMER","MALE"
"242","34.8","MURIWAI","WEST","WINTER","FEMALE"
"262","33.4","MURIWAI","WEST","SUMMER","FEMALE"
"271","39.2","PIHA","WEST","SUMMER","FEMALE"
"262","34.4","PIHA","WEST","SUMMER","FEMALE"
"274","40.4","WAITAWA","EAST","WINTER","MALE"
"285","35.7","MARAETAI","EAST","SUMMER","MALE"
